variant,comparator,scope,change,authid,name,new_count,old_count,new_rank,old_rank,new_display_position,old_display_position
narrower_query,current_published,exact_top100,entrant,35727190200,Nagler R.H.,7,6,83,96,94,116
narrower_query,current_published,exact_top100,entrant,36196237600,Balcells L.,7,6,83,96,96,117
narrower_query,current_published,exact_top100,entrant,55319086800,Cabrera L.Y.,8,4,53,292,64,394
narrower_query,current_published,exact_top100,entrant,56180409500,Banda K.K.,8,6,53,96,69,136
narrower_query,current_published,exact_top100,entrant,57190437914,Yang J.,13,2,9,984,15,1726
narrower_query,current_published,exact_top100,entrant,57201338729,Merkley E.,8,6,53,96,76,154
narrower_query,current_published,exact_top100,exit,6601956224,John Gastil,6,6,115,96,117,96
narrower_query,current_published,exact_top100,exit,6602533817,Jonas Tallberg,6,6,115,96,118,97
narrower_query,current_published,exact_top100,exit,6602698051,Giuliano Bonoli,6,6,115,96,119,98
narrower_query,current_published,exact_top100,exit,7006126634,André Blais,6,6,115,96,121,99
narrower_query,current_published,exact_top100,exit,7102332636,Oliver James,6,6,115,96,122,100
narrower_query,current_published,exact_top100,exit,24554597700,Geoffrey P. R. Wallace,6,7,115,67,132,72
narrower_query,current_published,exact_top100,exit,55454468300,Tatishe M. Nteta,7,7,83,67,101,81
narrower_query,current_published,exact_top100,exit,55461249300,Craig M. Burnett,7,7,83,67,102,82
narrower_query,current_published,exact_top100,exit,55636964600,Long Doan,7,7,83,67,103,84
narrower_query,current_published,exact_top100,exit,56329786700,Joshua Robison,7,7,83,67,104,87
narrower_query,current_published,exact_top100,exit,56868425000,Kai Quek,7,7,83,67,106,89
narrower_query,current_published,exact_top100,exit,56924059300,Xiaojun Li,7,7,83,67,107,90
narrower_query,current_published,exact_top100,exit,57188880644,Lauren Sukin,7,7,83,67,109,91
narrower_query,current_published,exact_top100,exit,57206937457,Azusa Uji,7,7,83,67,112,93
narrower_query,current_published,exact_top100,exit,57220203816,Kaylyn Jackson Schiff,7,7,83,67,113,94
narrower_query,current_published,exact_top100,exit,57264879500,Senhu Wang,7,7,83,67,114,95
narrower_query,current_published,top100_with_cutoff_ties,entrant,6603030334,de Vreese C.,7,3,83,513,84,530
narrower_query,current_published,top100_with_cutoff_ties,entrant,6603559510,Turgeon M.,8,5,53,166,53,171
narrower_query,current_published,top100_with_cutoff_ties,entrant,8967284700,Barry C.L.,7,4,83,292,86,318
narrower_query,current_published,top100_with_cutoff_ties,entrant,16023197400,Wojcieszak M.,7,5,83,166,87,185
narrower_query,current_published,top100_with_cutoff_ties,entrant,16244346100,Caillier J.G.,7,4,83,292,89,333
narrower_query,current_published,top100_with_cutoff_ties,entrant,25422239000,Pagliaro S.,10,2,33,984,34,1271
narrower_query,current_published,top100_with_cutoff_ties,entrant,26036187400,Lecheler S.,8,5,53,166,60,197
narrower_query,current_published,top100_with_cutoff_ties,entrant,55319086800,Cabrera L.Y.,8,4,53,292,64,394
narrower_query,current_published,top100_with_cutoff_ties,entrant,57188590875,Muradova L.,7,5,83,166,108,253
narrower_query,current_published,top100_with_cutoff_ties,entrant,57190437914,Yang J.,13,2,9,984,15,1726
narrower_query,current_published,top100_with_cutoff_ties,exit,6601956224,John Gastil,6,6,115,96,117,96
narrower_query,current_published,top100_with_cutoff_ties,exit,6602533817,Jonas Tallberg,6,6,115,96,118,97
narrower_query,current_published,top100_with_cutoff_ties,exit,6602698051,Giuliano Bonoli,6,6,115,96,119,98
narrower_query,current_published,top100_with_cutoff_ties,exit,7006126634,André Blais,6,6,115,96,121,99
narrower_query,current_published,top100_with_cutoff_ties,exit,7102332636,Oliver James,6,6,115,96,122,100
narrower_query,current_published,top100_with_cutoff_ties,exit,8159413200,Tucker J.A.,6,6,115,96,123,102
narrower_query,current_published,top100_with_cutoff_ties,exit,8223892400,Kam C.D.,6,6,115,96,124,103
narrower_query,current_published,top100_with_cutoff_ties,exit,8532420500,Wauters B.,6,6,115,96,125,104
narrower_query,current_published,top100_with_cutoff_ties,exit,8547908900,Geys B.,6,6,115,96,126,105
narrower_query,current_published,top100_with_cutoff_ties,exit,12779778800,Hopkins D.J.,6,6,115,96,127,106
narrower_query,current_published,top100_with_cutoff_ties,exit,14035294700,Dafoe A.,6,6,115,96,128,107
narrower_query,current_published,top100_with_cutoff_ties,exit,16308652800,Christenson D.P.,5,6,195,96,216,110
narrower_query,current_published,top100_with_cutoff_ties,exit,16744169900,Johns R.,6,6,115,96,130,111
narrower_query,current_published,top100_with_cutoff_ties,exit,23986892700,Woessmann L.,6,6,115,96,131,112
narrower_query,current_published,top100_with_cutoff_ties,exit,24554597700,Geoffrey P. R. Wallace,6,7,115,67,132,72
narrower_query,current_published,top100_with_cutoff_ties,exit,25958739200,Socia K.M.,6,6,115,96,133,113
narrower_query,current_published,top100_with_cutoff_ties,exit,35173613400,Robertson C.,6,6,115,96,136,114
narrower_query,current_published,top100_with_cutoff_ties,exit,35233854900,Kaneko S.,6,6,115,96,137,115
narrower_query,current_published,top100_with_cutoff_ties,exit,36469243000,Stout C.T.,6,6,115,96,139,118
narrower_query,current_published,top100_with_cutoff_ties,exit,36473880700,Pardos-Prado S.,6,6,115,96,140,119
narrower_query,current_published,top100_with_cutoff_ties,exit,36992463600,Tilcsik A.,6,6,115,96,142,120
narrower_query,current_published,top100_with_cutoff_ties,exit,47062211000,Sauer C.,6,6,115,96,144,121
narrower_query,current_published,top100_with_cutoff_ties,exit,53983153400,Powers R.M.,6,6,115,96,146,122
narrower_query,current_published,top100_with_cutoff_ties,exit,54385071100,Grimmelikhuijsen S.G.,6,6,115,96,147,123
narrower_query,current_published,top100_with_cutoff_ties,exit,54402038900,Willems J.,6,6,115,96,148,124
narrower_query,current_published,top100_with_cutoff_ties,exit,54785521400,Utych S.M.,6,6,115,96,150,125
narrower_query,current_published,top100_with_cutoff_ties,exit,54939771600,Ayoub P.M.,6,6,115,96,151,126
narrower_query,current_published,top100_with_cutoff_ties,exit,55364149100,Newman B.J.,5,6,195,96,264,127
narrower_query,current_published,top100_with_cutoff_ties,exit,55498802400,Werner A.,6,6,115,96,153,128
narrower_query,current_published,top100_with_cutoff_ties,exit,55604227800,Porumbescu G.,6,6,115,96,154,129
narrower_query,current_published,top100_with_cutoff_ties,exit,55735410100,Schlipphak B.,6,6,115,96,155,130
narrower_query,current_published,top100_with_cutoff_ties,exit,55738296700,Huang H.,6,6,115,96,156,131
narrower_query,current_published,top100_with_cutoff_ties,exit,55787363800,Liu B.,6,6,115,96,157,132
narrower_query,current_published,top100_with_cutoff_ties,exit,55955809300,Petzold K.,6,6,115,96,159,133
narrower_query,current_published,top100_with_cutoff_ties,exit,56056445200,Lim S.,6,6,115,96,160,134
narrower_query,current_published,top100_with_cutoff_ties,exit,56168369200,Thau M.,6,6,115,96,162,135
narrower_query,current_published,top100_with_cutoff_ties,exit,56256131200,Kantorowicz J.,6,6,115,96,163,137
narrower_query,current_published,top100_with_cutoff_ties,exit,56281778100,Yeh Y.Y.,6,6,115,96,164,138
narrower_query,current_published,top100_with_cutoff_ties,exit,56421548300,McDowell D.,6,6,115,96,165,140
narrower_query,current_published,top100_with_cutoff_ties,exit,56432557600,Fossati F.,6,6,115,96,166,141
