authid,name,n_articles,n_us_articles,n_us_explicit,n_us_inferred,n_non_us,n_unclear,n_unreviewed,n_not_applicable,n_us_upper,n_reviewed,annotation_coverage,resolved_geography_coverage,n_geography_conflicts,n_mixed_country_us_articles,article_ids,scope,count_interpretation,us_competition_rank,us_display_position,all_competition_rank
59157808300,Papp Z.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105044897707,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7751,2190
59161178600,Smith N.L.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105004666144,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7752,2190
59166128300,Koenig P.D.,1,0,0,0,1,0,0,0,0,1,1.0,1.0,0,0,105042642663,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7753,2190
59166654700,Zhang Y.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85195550639,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7754,2190
59168682400,Wei J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85217083209,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7755,2190
59168807800,Stumpf E.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105024314397,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7756,2190
59169738700,Schwartz J.A.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85195782471,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7757,2190
59170637300,Fitzgerald J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85195829321,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7758,2190
59172175600,Niu X.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85195986366,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7759,2190
59172175700,Xie W.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85195986366,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7760,2190
59173521500,Diether E.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85196100051,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7761,2190
59175792400,May D.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85196196193,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7762,2190
59177099500,Sun X.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85196267488,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7763,2190
59180236800,Moore J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85196525595,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7764,2190
59193327600,Shi D.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105036239434,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7765,2190
59193664800,de Koning J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85196971153,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7766,2190
59201746300,Yang Q.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85197422170,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7767,2190
59204736700,Nam J.,1,0,0,0,0,1,0,0,1,1,1.0,0.0,0,0,105038401018,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7768,2190
59205169000,Eidheim M.R.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85197692115,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7769,2190
59210421300,Neff O.T.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85216941435,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7770,2190
59213468700,Gunes U.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105044824662,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7771,2190
59215395000,Townsend K.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85198292465,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7772,2190
59217065900,Jiang Y.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85198464294,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7773,2190
59219159300,Trail M.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85198602204,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7774,2190
59220557100,Numa K.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85198669529,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7775,2190
59224292000,Becvar K.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85198947323,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7776,2190
59228120100,Moreira J.A.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,86000376657,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7777,2190
59228496900,Lammers R.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105037802369,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7778,2190
59230207500,Marlier J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105002128027,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7779,2190
59230647200,Kittel R.C.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105002123123,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7780,2190
59233675800,Lv B.,1,0,0,0,0,1,0,0,1,1,1.0,0.0,0,0,85211934873,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7781,2190
59234628500,Iten T.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105037763094,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7782,2190
59239735400,Han Y.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85200011466,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7783,2190
59240127600,Aminot K.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85199988864,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7784,2190
59240655000,Griffith R.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85200043947,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7785,2190
