variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,n_sole,n_first_excluding_sole,n_last_excluding_sole,score_tie_size,article_ids,scopus_author_url,status
narrower_query,6405,2652,55960887600,Oskarson M.,1,0,1,0,0,1,9283,85097011885,https://www.scopus.com/authid/detail.uri?authorId=55960887600,unvalidated_query_candidate_articles
narrower_query,6406,2652,55961021700,Domon B.,1,0,1,0,0,1,9283,84870656540,https://www.scopus.com/authid/detail.uri?authorId=55961021700,unvalidated_query_candidate_articles
narrower_query,6407,2652,55961492400,Rammstedt B.,1,1,0,0,1,0,9283,85164357565,https://www.scopus.com/authid/detail.uri?authorId=55961492400,unvalidated_query_candidate_articles
narrower_query,6408,2652,55962017200,Dwertmann D. .,1,1,0,0,1,0,9283,105024769524,https://www.scopus.com/authid/detail.uri?authorId=55962017200,unvalidated_query_candidate_articles
narrower_query,6409,2652,55962405200,Roberts J.J.,1,0,1,0,0,1,9283,84929590619,https://www.scopus.com/authid/detail.uri?authorId=55962405200,unvalidated_query_candidate_articles
narrower_query,6410,2652,55962904000,Schmid Mast M.,1,0,1,0,0,1,9283,85103342639,https://www.scopus.com/authid/detail.uri?authorId=55962904000,unvalidated_query_candidate_articles
narrower_query,6411,2652,55962948700,Jensen E.A.,1,1,0,0,1,0,9283,85206656921,https://www.scopus.com/authid/detail.uri?authorId=55962948700,unvalidated_query_candidate_articles
narrower_query,6412,2652,55965959900,Woo J.R.,1,0,1,0,0,1,9283,105008219912,https://www.scopus.com/authid/detail.uri?authorId=55965959900,unvalidated_query_candidate_articles
narrower_query,6413,2652,55966212900,Krakow M.,1,1,0,0,1,0,9283,85025678371,https://www.scopus.com/authid/detail.uri?authorId=55966212900,unvalidated_query_candidate_articles
narrower_query,6414,2652,55966296300,Müller A.L.,1,1,0,0,1,0,9283,84901288372,https://www.scopus.com/authid/detail.uri?authorId=55966296300,unvalidated_query_candidate_articles
narrower_query,6415,2652,55966431000,Albert C.D.,1,0,1,0,0,1,9283,85215262898,https://www.scopus.com/authid/detail.uri?authorId=55966431000,unvalidated_query_candidate_articles
narrower_query,6416,2652,55968510400,Yarchi M.,1,1,0,0,1,0,9283,105023689069,https://www.scopus.com/authid/detail.uri?authorId=55968510400,unvalidated_query_candidate_articles
