authid,name,orcid,name_source_scopus_id
6508040241,Enosh G.,0000-0003-3663-0496,85087620957
6508044058,Nässén J.,,85211027858
6508047023,Muthitacharoen A.,0000-0003-3891-5428,85192090135
6508050225,Rothgerber H.,,84899583287
6508051453,Gutchess A.,,85103132055
6508056009,Riyanto Y.,,85045615462
6508058220,Unah I.,0000-0002-7510-5814,85219724477
6508068712,Vanhuysse P.,,85030152265
6508077795,Sirghi D.L.,,85166440803
6508112755,Hicken A.,0000-0002-3995-953X,85183542861
6508114747,Siakaluk P.D.,,85142121999
6508131110,Marlow L.A.V.,,85087616692
6508137521,Wehkamp K.,,105001107075
6508143157,Mammarella I.,,77955443489
6508147786,Froud K.,,85194020938
6508152143,Coenders M.,,84994613652
6508167439,Levy Yeyati E.,,85077870896
6508174891,Wit E.,,84944145668
6508177597,Tasso A.,,105034954403
6508187138,Caskie G.I.L.,0000-0003-2366-7695,85188180691
6508189028,Morning A.,,85073523455
6508189888,Shlay A.B.,,70449093751
6508208024,Mendelberg T.,0000-0002-4494-7541,105022777443
6508220000,Wollebæk D.,,85020815944
6508229749,Fazal T.M.,0000-0003-3314-5815,105004581160
6508236245,Chie B.T.,,105035361015
6508237340,Canto J.M.,0000-0001-8139-0896,85083277227
6508243528,Sorens J.,,85135277158
6508256410,Julion W.A.,,85111481317
6508259424,Hadjichristidis C.,,105002667608
6508263157,Pop-Eleches G.,0000-0003-3570-6233,85178200337
