position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
2142,984,58663225500,Brüggemann O.,2,1,2,1,0,,1.5,false,85174807080|105006849208,https://www.scopus.com/authid/detail.uri?authorId=58663225500,provisional_query_candidates
2143,984,58675071800,Cho J.J.,2,1,1,1,0,,0.583333,false,105013200123|105030588739,https://www.scopus.com/authid/detail.uri?authorId=58675071800,provisional_query_candidates
2144,984,58687086900,Haider E.A.,2,1,2,1,0,,1.5,false,105004032663|105005536352,https://www.scopus.com/authid/detail.uri?authorId=58687086900,provisional_query_candidates
2145,984,58714335500,Bandiera A.,2,0,2,0,0,,0.75,false,105014753885|105032679069,https://www.scopus.com/authid/detail.uri?authorId=58714335500,provisional_query_candidates
2146,984,58740132000,Weißflog M.I.,2,0,2,0,0,,0.833333,false,85178451176|105030323473,https://www.scopus.com/authid/detail.uri?authorId=58740132000,provisional_query_candidates
2147,984,58843429200,Shin H.,2,0,1,2,0,,1.5,false,85190970825|85205303340,https://www.scopus.com/authid/detail.uri?authorId=58843429200,provisional_query_candidates
2148,984,58853648500,King J.M.,2,2,2,0,0,,0.833333,false,85195302049|105021668564,https://www.scopus.com/authid/detail.uri?authorId=58853648500,provisional_query_candidates
2149,984,58857244600,Humayun F.,2,0,2,2,0,,2.0,false,85183708785|85184241716,https://www.scopus.com/authid/detail.uri?authorId=58857244600,provisional_query_candidates
2150,984,58861036800,Onursal D.,2,0,2,2,0,,2.0,false,105023443487|105034976056,https://www.scopus.com/authid/detail.uri?authorId=58861036800,provisional_query_candidates
2151,984,58890880700,Scheuch E.,2,0,2,2,0,,2.0,false,85217375743|105046929765,https://www.scopus.com/authid/detail.uri?authorId=58890880700,provisional_query_candidates
2152,984,58903492500,Mrchkovska N.,2,0,2,0,0,,0.666667,false,85185836671|105022491747,https://www.scopus.com/authid/detail.uri?authorId=58903492500,provisional_query_candidates
2153,984,58941098500,Davis B.,2,0,2,0,0,,0.75,false,105009244371|105030598601,https://www.scopus.com/authid/detail.uri?authorId=58941098500,provisional_query_candidates
2154,984,58950409200,Robles R.,2,0,0,2,0,,0.75,false,85188296211|85195301813,https://www.scopus.com/authid/detail.uri?authorId=58950409200,provisional_query_candidates
2155,984,58972343900,Thorp J.R.,2,0,1,1,0,,1.0,false,85189546965|85208706295,https://www.scopus.com/authid/detail.uri?authorId=58972343900,provisional_query_candidates
2156,984,58984068400,Moelter I.J.,2,0,1,1,0,,0.833333,false,85190280796|105027475051,https://www.scopus.com/authid/detail.uri?authorId=58984068400,provisional_query_candidates
2157,984,59148816100,Fleming A.M.C.,2,2,2,0,1,Prolific,0.666667,false,85194466741|105004216628,https://www.scopus.com/authid/detail.uri?authorId=59148816100,provisional_query_candidates
2158,984,59198816600,Reidinger V.,2,0,2,1,0,,1.333333,false,105012613758|105038382881,https://www.scopus.com/authid/detail.uri?authorId=59198816600,provisional_query_candidates
2159,984,59374920000,Eom D.,2,1,2,0,0,,0.325,false,105001546538|105019369217,https://www.scopus.com/authid/detail.uri?authorId=59374920000,provisional_query_candidates
2160,984,59376740600,Korchagin R.,2,0,0,2,0,,1.0,false,105019801194|105029714976,https://www.scopus.com/authid/detail.uri?authorId=59376740600,provisional_query_candidates
2161,984,59378860300,Gaudette J.,2,1,2,1,0,,1.166667,false,85210093258|105047002160,https://www.scopus.com/authid/detail.uri?authorId=59378860300,provisional_query_candidates
2162,984,59385480200,Huang Y.S.,2,0,1,2,0,,1.5,false,105009244371|105039110508,https://www.scopus.com/authid/detail.uri?authorId=59385480200,provisional_query_candidates
2163,984,59393924700,Easton M.,2,1,1,1,0,,0.75,false,85118297139|85208081793,https://www.scopus.com/authid/detail.uri?authorId=59393924700,provisional_query_candidates
2164,984,59422373300,Gurevich V.,2,0,2,0,0,,1.0,false,85210008405|105017667677,https://www.scopus.com/authid/detail.uri?authorId=59422373300,provisional_query_candidates
2165,984,59443884400,Shen X.,2,2,2,2,0,,2.0,false,105013601811|105046430161,https://www.scopus.com/authid/detail.uri?authorId=59443884400,provisional_query_candidates
2166,984,59483345800,Zhou M.,2,1,0,2,0,,0.583333,false,85212836447|105019245099,https://www.scopus.com/authid/detail.uri?authorId=59483345800,provisional_query_candidates
2167,984,59521378200,Li H.,2,0,2,0,0,,0.833333,false,85215597435|105017393919,https://www.scopus.com/authid/detail.uri?authorId=59521378200,provisional_query_candidates
2168,984,59587893400,Ni X.,2,0,0,2,0,,0.666667,false,85134056656|85180843295,https://www.scopus.com/authid/detail.uri?authorId=59587893400,provisional_query_candidates
2169,984,59633548900,Liu P.,2,1,2,1,0,,1.333333,false,85061810437|85176941859,https://www.scopus.com/authid/detail.uri?authorId=59633548900,provisional_query_candidates
2170,984,59654099800,Gallagher L.,2,0,0,2,0,,1.0,false,85218893517|105009050855,https://www.scopus.com/authid/detail.uri?authorId=59654099800,provisional_query_candidates
2171,984,59667903600,Dai Y.,2,0,1,1,0,,1.0,false,85219734555|105025722573,https://www.scopus.com/authid/detail.uri?authorId=59667903600,provisional_query_candidates
2172,984,59701635100,Nørregaard I.,2,0,1,2,0,,1.5,false,105000552012|105044084325,https://www.scopus.com/authid/detail.uri?authorId=59701635100,provisional_query_candidates
2173,984,59703271500,Cely T.,2,0,2,1,0,,1.333333,false,105006783294|105036645772,https://www.scopus.com/authid/detail.uri?authorId=59703271500,provisional_query_candidates
2174,984,59781923900,Lü X.,2,0,2,1,0,,1.333333,false,84863992767|84883485500,https://www.scopus.com/authid/detail.uri?authorId=59781923900,provisional_query_candidates
2175,984,59905683600,Scholten M.,2,0,2,1,0,,1.5,false,105005808679|105009421882,https://www.scopus.com/authid/detail.uri?authorId=59905683600,provisional_query_candidates
2176,984,59939463200,Liang S.,2,1,2,1,0,,1.5,false,105031920797|105047744800,https://www.scopus.com/authid/detail.uri?authorId=59939463200,provisional_query_candidates
2177,984,60001140900,Rojas D.,2,0,0,2,0,,1.0,false,105010921893|105014753885,https://www.scopus.com/authid/detail.uri?authorId=60001140900,provisional_query_candidates
2178,984,60015083800,Tanaka K.,2,1,0,2,0,,0.666667,false,105032256012|105044351057,https://www.scopus.com/authid/detail.uri?authorId=60015083800,provisional_query_candidates
2179,984,60084241700,Symoom T.,2,1,2,2,0,,2.0,false,105015058934|105029353574,https://www.scopus.com/authid/detail.uri?authorId=60084241700,provisional_query_candidates
2180,984,60127474200,Yu K.L.,2,1,1,1,0,,1.0,false,105017929933|105028554818,https://www.scopus.com/authid/detail.uri?authorId=60127474200,provisional_query_candidates
2181,984,60157206300,Nowlan O.,2,0,2,2,0,,2.0,false,105043529756|105046909679,https://www.scopus.com/authid/detail.uri?authorId=60157206300,provisional_query_candidates
2182,984,60158462700,Núñez A.R.,2,0,2,1,0,,1.5,false,105019945174|105020070128,https://www.scopus.com/authid/detail.uri?authorId=60158462700,provisional_query_candidates
2183,984,60194612200,Smith K.,2,2,0,2,0,,0.5,false,105021850455|105028871734,https://www.scopus.com/authid/detail.uri?authorId=60194612200,provisional_query_candidates
2184,984,60369231200,Li N.,2,2,1,1,0,,0.833333,false,105029254541|105034635702,https://www.scopus.com/authid/detail.uri?authorId=60369231200,provisional_query_candidates
2185,984,60387389600,Tang R.,2,1,2,0,0,,0.666667,false,105029988289|105043475643,https://www.scopus.com/authid/detail.uri?authorId=60387389600,provisional_query_candidates
2186,984,60596032500,Nguyen Q.,2,0,1,1,0,,0.833333,false,85171571782|85211797330,https://www.scopus.com/authid/detail.uri?authorId=60596032500,provisional_query_candidates
2187,984,60618720400,Silver J.R.,2,1,1,1,2,Lucid|YouGov,1.0,false,105038176952|105046150277,https://www.scopus.com/authid/detail.uri?authorId=60618720400,provisional_query_candidates
2188,984,60643389100,Tong D.,2,0,2,0,0,,0.833333,false,105039673112|105048446098,https://www.scopus.com/authid/detail.uri?authorId=60643389100,provisional_query_candidates
2189,984,60769613100,van Meurs T.,2,0,2,0,0,,0.5,false,85142750388|85195620162,https://www.scopus.com/authid/detail.uri?authorId=60769613100,provisional_query_candidates
2190,2190,6503853641,Rowling C.M.,1,1,1,0,0,,0.5,false,85130930099,https://www.scopus.com/authid/detail.uri?authorId=6503853641,provisional_query_candidates
2191,2190,6503957547,Lingnau V.,1,1,0,1,0,,0.333333,false,85154575564,https://www.scopus.com/authid/detail.uri?authorId=6503957547,provisional_query_candidates
2192,2190,6504003238,Trappmann M.,1,0,0,1,0,,0.333333,false,85071372063,https://www.scopus.com/authid/detail.uri?authorId=6504003238,provisional_query_candidates
2193,2190,6504021970,Stoerk T.,1,0,0,1,0,,0.5,false,84924221338,https://www.scopus.com/authid/detail.uri?authorId=6504021970,provisional_query_candidates
2194,2190,6504039959,Slapin J.,1,0,0,1,0,,0.333333,false,105038382881,https://www.scopus.com/authid/detail.uri?authorId=6504039959,provisional_query_candidates
2195,2190,6504062437,Walrave M.,1,1,0,1,0,,0.333333,false,85027420513,https://www.scopus.com/authid/detail.uri?authorId=6504062437,provisional_query_candidates
2196,2190,6504243751,Wedeking J.,1,1,1,0,0,,0.5,false,105016166477,https://www.scopus.com/authid/detail.uri?authorId=6504243751,provisional_query_candidates
2197,2190,6504591571,Spirling A.,1,0,0,1,0,,0.333333,false,84857236813,https://www.scopus.com/authid/detail.uri?authorId=6504591571,provisional_query_candidates
2198,2190,6504610641,Harfst P.,1,0,1,0,0,,0.142857,false,85150968807,https://www.scopus.com/authid/detail.uri?authorId=6504610641,provisional_query_candidates
2199,2190,6504647839,Decuypere A.,1,0,1,0,0,,0.5,false,85214704822,https://www.scopus.com/authid/detail.uri?authorId=6504647839,provisional_query_candidates
2200,2190,6504713225,Barigozzi F.,1,0,1,0,0,,0.5,false,105019094345,https://www.scopus.com/authid/detail.uri?authorId=6504713225,provisional_query_candidates
